poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,politician_id,politician,favorable,unfavorable,alternate_answers
57428,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-01-25T00:00:00Z,2019-01-27T00:00:00Z,FALSE,NA,114719,1997,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/01/190156_crosstabs_POLITICO_RVs_v1_ML.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/01/190156_crosstabs_POLITICO_RVs_v1_ML.pdf,11,Donald Trump,40,54,6
57432,169,Gallup,,,NA,NA,NA,Gallup,Live Phone,NA,2019-01-21T00:00:00Z,2019-01-27T00:00:00Z,FALSE,NA,114652,1022,a,NA,a,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,https://news.gallup.com/poll/246353/190130shutdown.aspx,NA,NA,NA,11,Donald Trump,39,59,2
57431,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-01-27T00:00:00Z,2019-01-29T00:00:00Z,FALSE,NA,114794,1303,rv,NA,rv,FALSE,2025-04-28 19:39:47 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3kv2h8ad3b/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3kv2h8ad3b/econTabReport.pdf,11,Donald Trump,43,55,2
57449,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-02-01T00:00:00Z,2019-02-02T00:00:00Z,FALSE,NA,114718,1993,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/02/190202_crosstabs_POLITICO_RVs_v1_AP.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/02/190202_crosstabs_POLITICO_RVs_v1_AP.pdf,11,Donald Trump,40,56,4
57448,1866,CNN/SSRS,,,NA,NA,NA,CNN/SSRS,Live Phone,NA,2019-01-30T00:00:00Z,2019-02-02T00:00:00Z,FALSE,NA,114745,933,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,http://cdn.cnn.com/cnn/2019/images/02/03/rel2a.-.trump.pdf,NA,NA,http://cdn.cnn.com/cnn/2019/images/02/03/rel2a.-.trump.pdf,11,Donald Trump,44,53,3
57468,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-02-02T00:00:00Z,2019-02-05T00:00:00Z,FALSE,NA,114793,1289,rv,NA,rv,FALSE,2025-04-28 19:39:47 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xu41m437ju/econTabReport_update_1.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xu41m437ju/econTabReport_update_1.pdf,11,Donald Trump,42,54,3
57527,294,McLaughlin,,,NA,NA,NA,McLaughlin & Associates,Online Opt-In Panel,NA,2019-02-06T00:00:00Z,2019-02-10T00:00:00Z,FALSE,NA,114672,1000,lv,NA,lv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,http://mclaughlinonline.com/pols/wp-content/uploads/2019/02/National-Monthly-Omnibus-February-1.pdf,NA,NA,NA,11,Donald Trump,42,54,4
57502,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-02-07T00:00:00Z,2019-02-10T00:00:00Z,FALSE,NA,114717,1845,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://www.politico.com/f/?id=00000168-e3c1-d3d6-a7f8-f7ebcd170002,NA,NA,NA,11,Donald Trump,43,51,5
57515,1597,Beacon/Shaw,,,NA,NA,NA,Beacon Research/Shaw & Co. Research,Live Phone,NA,2019-02-10T00:00:00Z,2019-02-12T00:00:00Z,FALSE,NA,114648,1004,rv,NA,rv,FALSE,2025-04-28 19:42:30 UTC,2025-05-02 14:18:28 UTC,NA,https://www.foxnews.com/politics/fox-news-poll-2-13-19,NA,NA,NA,11,Donald Trump,43,54,3
57512,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-02-10T00:00:00Z,2019-02-12T00:00:00Z,FALSE,NA,114792,1276,rv,NA,rv,FALSE,2025-04-28 19:39:47 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/na6jdfbhty/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/na6jdfbhty/econTabReport.pdf,11,Donald Trump,40,58,2
57555,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-02-17T00:00:00Z,2019-02-19T00:00:00Z,FALSE,NA,114791,1310,rv,NA,rv,FALSE,2025-04-28 19:39:47 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/873pc8imz6/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/873pc8imz6/econTabReport.pdf,11,Donald Trump,44,53,2
